Composite.Element.REF	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
ACVRL1|ACVRL1	0.0515	0.0396	-1.4903	3.7486	-0.2347	0.3611	-0.5817	1.5596	-0.0947	1.9471	1.819	0.3063	-1.7735	-0.4463	0.9762	-0.0293	0.2501	1.0081	-0.9196	-0.4666	-0.5531	-1.76	-0.5639	0.0458	0.1069	0.9765	-0.335	0.386	-0.1911	-0.843	0.2315	0.3951	-0.3144	-1.9137	-0.3199	-0.4253	0.3232	1.0118	-0.2928	-0.3649	0.4282	-0.6122	-0.1554	-0.7094	-0.3665	0.9382	0.1529	-0.0707	0.1795	-0.7836	-0.5949	-0.929	0.7611	0.5979	0.8183	0.2754	-0.5158	0.0425	-0.4418	0.0224	0.09
ADAR|ADAR1	0.1121	0.6792	-0.107	0.3428	0.5672	1.8243	1.6805	0.2322	0.9079	-1.0175	-1.795	-1.2938	-1.2135	0.7708	-2.4031	0.7774	0.9253	-0.0856	-0.7428	0.5461	0.1878	-1.2833	1.0721	-0.0732	2.1038	1.55	0.7881	2.9072	0.1252	0.8123	1.672	-0.2085	0.0546	0.3056	1.383	0.7125	-0.0505	-0.228	-0.0413	-0.2506	-0.2437	-0.22	-0.2274	-0.3333	-0.6375	0.2226	-0.2679	-0.6263	-0.4721	-0.349	-1.6016	1.2743	-0.0563	0.8015	1.8398	0.0566	-0.3748	-0.0859	-0.1277	-0.4054	-1.2525
PRKAA1|AMPK_alpha	-0.2468	0.2217	-1.1993	0.1903	-0.3365	-1.0934	-2.2347	-0.7728	1.7913	1.2005	1.1088	0.3727	0.1519	-0.825	1.8654	-0.6213	1.0285	1.2082	-0.3286	-1.4789	0.7364	-0.551	-0.3333	-0.5543	-1.0849	-1.3267	0.2918	-1.7316	0.8768	-0.8648	-1.2603	-0.4634	-0.0773	-0.2505	-0.4677	-0.5324	0.6173	-1.9859	-0.0768	0.0963	-0.9563	-0.4423	-0.0967	0.9139	0.3343	0.2076	-0.4138	0.2777	0.2835	2.0541	-0.6199	-0.7916	-0.2419	0.0645	-0.81	-1.054	-0.2358	-1.4816	0.9856	-2.4549	0.4484
PRKAA1|AMPK_pT172	-0.6426	-1.6054	-0.8069	-1.0121	-0.1641	-2.3726	-1.2533	-0.7713	-0.9365	-0.6136	-0.6054	0.2146	0.6132	0.0245	1.0277	-0.9313	0.9875	0.8809	0.0864	-1.9943	1.3908	-0.4185	0.0379	0.5833	-0.1254	-0.5001	1.2415	-1.0452	1.0852	0.2148	0.1663	0.1762	1.0369	1.0761	-0.7969	-0.101	-1.0843	-1.4332	0.3122	0.2243	-0.1742	-0.197	0.0698	0.0112	0.8076	-0.2366	0.0738	-0.0599	-0.3209	0.5341	0.3018	-0.8816	0.4989	-0.0555	0.3525	1.8323	0.0038	-0.8259	2.1019	-0.5165	-1.0817
AR|AR	0.0119	-0.4896	-0.6918	0.4426	-0.8355	1.3643	-1.1856	0.881	2.3056	-7e-04	0.414	-0.487	1.3569	-0.8911	-0.4207	-0.255	-1.0223	0.6972	-0.8438	-0.76	1.3973	-0.311	-0.7831	1.2058	0.7047	2.357	0.3357	-0.205	0.094	2.488	1.9408	-0.7866	1.7613	-1.2239	-0.8125	0.1144	-0.1337	-0.2419	-0.4091	-0.5409	-0.1426	-0.5442	-0.4537	-0.6794	-0.0153	0.0356	0.0367	0.2584	0.1071	-0.208	-1.2476	-1.0961	1.9932	1.9579	-0.7011	1.5111	-0.2164	-0.3834	0.3536	-0.2754	1.7482
ARHI|ARHI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.0984	-0.0561	1.8981	-0.4264	0.3568	1.0523	-0.2657	0.3053	-0.2293	0.2887	-0.0096	1.0406	0.4596	0.4555	-0.5093	NA	NA	NA	NA	NA	-0.933	-0.4662	1.0191	-0.9153	1.0832	NA
ASNS|ASNS	-0.7564	-0.1782	0.5415	-1.0368	0.6404	-0.9762	-0.1654	1.6024	0.7368	-1.492	1.9552	-0.9813	-0.4421	-0.2239	-1.5274	-0.017	1.2891	0.1001	0.1358	-0.2015	-0.6964	2.2957	0.4393	-1.1883	-0.5006	1.1326	-0.7835	-0.3011	-0.2775	0.5808	-0.6778	0.4394	-1.5224	0.5665	-1.021	-2.273	0.2499	0.6473	-0.9789	-0.5115	-0.4978	-0.3986	-0.6025	0.508	-0.3149	1.8291	0.2292	-0.9166	-1.1825	-0.3677	-9e-04	-1.0319	0.5919	-0.8585	-0.3775	-0.4021	-0.7278	-0.4088	0.1008	-0.3232	0.8511
ATM|ATM	-0.6034	0.2864	1.0005	0.0441	0.624	0.5111	-0.1639	0.9622	1.2565	0.3696	-0.484	0.28	0.6841	1.512	-3.1328	-0.3886	-1.4685	-0.7187	0.0767	0.2129	0.1925	1.1179	-0.2712	-0.6691	0.2136	-0.303	1.4457	0.1894	-0.7933	0.2781	0.1419	0.8444	-0.8434	2.1524	-0.6649	0.0814	-1.2431	-1.1928	1.1084	0.6839	-0.1634	0.0187	-0.2375	0.5637	0.1445	-0.3955	-0.5617	-0.5109	-0.721	-0.1386	1.4339	0.373	1.0057	0.1431	1.109	0.7868	0.2256	-0.2615	0.7515	-0.0078	2.1752
TUBA1B|Acetyl-a-Tubulin(Lys40)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6893	1.3201	-0.8056	0.0739	0.2735	-1.0648	0.9069	0.8549	0.9189	0.7254	-0.6475	0.4957	0.0321	-0.9714	0.5881	NA	NA	NA	NA	NA	-1.459	-0.0185	-0.4689	-1.0111	-0.439	NA
TUBA1B|Acetyl-a-Tubulin-Lys40	0.2076	0.6604	-0.2996	-0.258	0.4709	0.1447	-0.7515	-0.64	-1.1146	-0.8961	-1.0568	-0.1223	-1.2071	-0.7135	2.3392	-0.687	1.3785	-0.4419	0.0256	-0.7483	-0.0686	-0.8224	-0.279	-0.1979	-0.953	0.3566	0.6359	-0.8042	1.8935	-1.0115	-0.5991	0.6264	-1.1678	-0.3804	0.6536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.2248	-0.6765	-1.5275	0.3647	-0.2196	NA	NA	NA	NA	NA	-0.965
AKT1 AKT2 AKT3|Akt	-1.4923	-0.2321	0.1909	-0.6442	0.874	-1.0281	-0.4871	-1.476	0.4327	-0.3155	-0.9924	0.6428	0.1007	-0.6702	2.6762	-0.2533	1.8084	0.5189	-0.1784	-0.2097	-0.0068	1.0337	-0.0206	-1.5311	-1.2023	-0.8694	0.6355	-1.6675	1.5029	-1.044	-0.9189	0.2947	-0.2665	1.5859	-0.7077	-0.7723	0.7714	-0.9551	-0.3242	0.2213	-0.7091	-0.1368	-0.5787	0.7309	0.23	0.2575	-0.6309	-0.4948	-0.1378	1.4198	0.4074	-1.894	-0.294	0.0047	0.0205	0.1321	0.3024	-0.7511	0.8029	-0.3755	1.1469
AKT1 AKT2 AKT3|Akt_pS473	1.9957	-0.0841	0.3742	-0.8278	-0.566	-0.1844	1.5539	-0.4716	1.4904	-0.1026	-1.1754	0.9657	0.5305	0.1651	-0.9076	0.0475	-1.627	1.4173	-0.2809	0.908	0.1083	-0.6236	-1.0198	1.4457	0.3101	-0.0885	-1.6314	-0.5947	-0.0032	0.5345	0.2083	-0.7062	0.916	-0.1551	-0.7681	0.2694	-0.5718	-0.0523	0.7532	-0.19	0.4154	0.1066	-0.0666	0.038	0.1791	-2.1846	-1.013	0.6116	0.4134	0.2801	1.4405	1.1787	1.3493	0.6446	-0.2884	-0.3041	1.774	-0.4159	1.0482	-0.1935	0.2693
AKT1 AKT2 AKT3|Akt_pT308	1.622	-0.2529	0.0886	-1.0587	0.1305	-0.6178	1.4268	-1.0883	1.4838	-1.2281	-0.8509	0.0602	0.1106	-0.1731	0.2729	-0.0636	-1.0179	1.4985	-0.0794	0.3307	-0.0533	-0.3574	-0.689	1.5124	-0.1223	-0.3547	-1.3777	-0.9133	-0.0615	0.4196	-0.1905	-0.8039	0.8577	-0.3258	-0.3111	0.2996	-0.5054	-0.1066	0.7491	0.1225	0.0145	0.2582	0.4844	-0.0194	0.2712	-0.0764	-0.3155	0.4247	0.9331	0.8379	1.1787	0.7539	1.1035	0.3553	-0.5306	-0.4803	1.4741	-0.3558	0.8258	0.1076	0.8956
ANXA1|Annexin-1	-0.0404	-0.8713	-0.3211	0.243	-0.6792	-0.3823	-0.4925	0.0969	2.9629	0.7895	2.2761	1.1564	0.1267	-0.4964	-1.1803	-0.6923	-0.8807	0.238	-0.0638	-0.5754	1.2828	-0.4144	-0.316	-0.9167	-0.2673	0.1246	-1.1541	-0.1861	-0.8653	-0.447	-0.3865	-0.726	2.7893	-0.1714	-0.6825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.2216	-0.2694	0.8702	-0.8455	-0.3854	NA	NA	NA	NA	NA	2.1351
ANXA1|Annexin_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1779	-0.549	0.909	-0.7095	-0.1822	0.2751	-0.6929	0.0913	-0.9408	-0.2673	-0.4912	-0.0774	0.0911	0.9651	0.8443	NA	NA	NA	NA	NA	2.288	0.028	0.2486	1.0802	0.3437	NA
ANXA7 |Annexin_VII	2.275	0.9165	-1.1521	2.1318	-0.8136	0.7499	0.6086	0.1916	-0.4994	-1.5526	-2.1487	-0.509	-1.6825	-0.3712	-0.5499	-0.491	-0.2426	1.0125	-1.0819	0.1579	-0.1948	-1.8892	-0.2392	2.0183	-0.4724	0.1255	0.1766	0.5123	0.2263	-0.0612	0.1236	-0.215	1.5634	-0.8503	0.5584	0.8243	0.1878	-0.0803	0.072	-0.816	-0.4065	-0.3025	0.371	-0.129	-0.3418	-0.8689	0.3394	0.5326	0.9632	1.7298	-1.2836	1.385	0.4918	0.6511	-0.2277	0.3867	-0.253	-0.0535	0.7946	-0.3878	-2.6448
BRAF|B-Raf	-1.1101	-0.0095	0.0323	-1.4273	0.2373	-1.648	-0.7946	-0.6876	-0.6281	-1.2611	-1.0039	-0.3973	-1.4216	-0.5481	2.3032	-0.1809	1.7253	-0.9853	0.9242	-0.9159	0.7055	0.5978	1.0032	-0.8533	-1.1957	0.209	0.7183	-1.3577	1.5769	-0.4213	-1.4489	0.8635	-0.004	-0.02	-0.1821	0.2756	1.5015	-0.674	-0.598	0.674	-0.8738	0.3449	0.1464	1.0762	0.8909	-2.2106	-0.2315	-1.6421	-0.4243	0.9753	-0.3685	-1.0707	-1.8694	-0.6317	-1.2846	-1.6451	-0.7397	-0.8335	0.0668	-0.3631	-0.5028
BRCA2|BRCA2	-0.7198	0.1241	-0.1195	1.0655	0.259	1.1205	0.4112	2.6345	-0.3967	-0.2492	1.0861	-0.8572	-0.8712	0.1999	-2.8269	1.4158	0.1343	0.6977	0.0389	0.989	0.0462	-1.3277	0.0035	0.7644	0.8293	1.9311	-0.3428	1.2807	-0.3239	0.2678	0.5877	-0.4153	0.3277	-0.2887	0.109	-0.5051	-0.7529	0.7626	-0.6579	-0.7309	0.7995	-0.4353	-0.5199	-1.1252	-0.4893	-0.099	0.2611	0.5087	-0.5307	-0.5584	-0.6223	-0.2897	1.1654	0.28	1.6944	0.261	-0.0273	0.4432	-0.4585	0.138	-1.138
BAD|Bad_pS112	-0.3012	0.0389	-0.0361	-2.103	-0.592	-1.0098	-0.1388	0.8346	2.1782	1.591	1.601	0.6934	0.6304	0.2848	-0.9529	-0.7523	-1.4654	-0.2001	-0.3568	-0.0648	-0.2179	1.6733	-0.9271	1.9018	0.0096	0.2567	-0.6455	-0.4215	-0.5799	0.0534	0.0431	-0.4387	2.1386	1.1025	-0.2452	-0.4409	-1.2765	-0.7278	0.551	0.4254	-0.2774	-0.3811	-0.4525	-0.6976	-0.0156	-0.7174	-0.6992	-0.2322	0.9357	0.35	0.1331	1.3321	0.108	-1.055	0.0621	-0.2528	0.586	-0.2179	1.1111	-0.4709	1.8178
BAK1|Bak	2.8357	-0.4978	-0.1218	0.0332	-0.4267	1.0095	-0.1218	-0.3467	-0.6392	-0.4529	-0.1218	0.307	-0.8241	-0.0356	0.1488	0.555	0.0048	-1.2837	-0.1071	0.2024	0.7327	-0.8858	0.4393	0.0421	1.1086	0.5402	-0.4272	1.7335	-0.5292	-0.5407	1.1763	0.1324	-0.0017	-0.8237	0.668	1.314	-0.1864	1.6865	-0.1323	-0.0792	0.6455	-0.5547	-0.4839	-0.2144	0.0627	0.0024	0.8383	0.2419	0.0077	-0.8837	0.1501	0.1813	-0.9592	-0.2755	0.2578	1.9425	-0.9437	0.6198	-1.1275	0.0839	-0.1049
BAP1|Bap1-c-4	-2.9995	-0.0333	1.0738	-2.1221	0.1571	-0.3483	0.5016	-0.3826	1.6059	0.9576	-0.3507	0.5275	0.8272	1.4901	-1.8947	-0.4553	-0.464	-1.6228	0.2269	0.2267	-0.3881	1.0795	0.4418	-0.1718	-0.0151	0.5465	0.3895	0.161	-0.2725	0.1164	0.0129	0.5334	-0.4222	1.557	-0.3368	-1.1197	-0.5271	0.8694	0.4874	0.8001	0.3743	-0.1725	-0.1192	0.1619	-0.0295	-1.9887	0.0179	-0.6412	-0.2238	-0.4951	1.9081	1.0901	0.0212	-1.3999	0.6802	-1.3437	-0.3167	0.482	-0.2332	0.1361	1.0785
BAX|Bax	-0.2399	0.8262	0.0351	0.2129	1.2331	-0.0667	-0.0038	0.6685	1.7007	3.3264	2.8576	0.5591	0.5799	-0.6012	1.1159	-0.3995	-1.5483	0.0916	0.3131	-0.6792	-0.0275	0.9776	-1.4732	-0.9517	-0.7919	-0.682	0.1081	-1.3878	-1.0661	-0.0124	-0.0692	0.0827	1.0105	0.1123	-0.7903	0.2795	-0.3635	-0.4037	-0.1112	-0.4075	-0.3183	-0.6871	-0.7247	0.2003	-0.7009	0.38	-0.7478	-0.1979	-0.306	0.2018	-0.2012	-0.8407	0.4939	-0.0662	-0.2462	1.1264	-0.3979	-0.438	-0.1396	-0.3036	1.803
BCL2|Bcl-2	1.3513	0.1609	-0.7531	1.1335	-0.0109	-0.394	1.0098	-0.8394	2.2887	-0.4722	-0.3249	-0.6832	-0.2689	1.604	-1.1182	-0.5721	-1.0053	0.2867	0.1496	0.0154	-0.2322	-0.4242	1.27	-1.3055	-0.6726	0.0035	0.6801	1.609	-0.5262	0.2166	0.448	0.2887	0.6814	-0.427	0.2277	-0.4222	-0.3132	0.0101	-0.4266	0.0568	-0.1484	0.5337	0.1496	0.0504	-0.4701	-1.1978	0.0312	0.0664	-0.1131	-0.1317	-0.7766	2.1746	0.7491	0.0043	2.3747	0.3996	-0.2161	0.2027	-0.3059	0.7158	-0.5931
BCL2L1|Bcl-xL	-1.9042	0.1824	-0.8486	0.1524	0.2925	-0.2552	-0.3945	-0.3431	-0.1881	1.2764	2.4032	-0.1394	-0.35	-1.0682	0.8129	-0.4868	0.0283	-0.5823	-0.4241	-0.9721	0.0066	-0.7933	-0.6976	-0.148	-1.111	-0.445	-0.742	-0.8989	-0.5668	-1.2713	-0.735	-0.6634	-0.4414	-0.0458	0.0475	-0.6746	1.9363	-1.0971	-0.7003	-0.3485	-1.355	2.0732	1.0351	0.8657	0.3845	1.9961	-0.3797	-0.6478	0.0183	0.9472	-1.0649	-2.2325	-0.4755	-0.4637	-0.7901	-0.4637	1.8031	-0.268	-0.1638	-0.0129	-0.7005
BECN1|Beclin	-2.6656	-0.6442	-0.8927	0.8011	-0.5672	-0.2026	-0.1135	0.4397	1.4289	2.0983	-1.0471	-0.1353	0.1255	-0.179	2.8379	-0.6153	0.6214	-1.7609	-0.879	-0.6137	-0.9375	-0.5511	0.3005	-0.674	-0.1357	-0.8393	0.5099	0.3987	0.525	-0.2836	-0.1522	-0.1938	-0.1509	-0.0641	0.8371	0.3194	0.6117	1.1636	0.3289	0.0228	0.6875	0.0601	0.2132	-0.2547	-0.3086	-0.6273	0.6911	0.1839	3.3911	-0.6366	-1.7715	1.6688	-1.6099	-0.6411	-0.1116	-0.8483	-0.2477	0.4262	-0.9002	-0.1165	-0.7903
BID|Bid	-0.2342	-0.1871	-0.545	-0.1961	-0.0945	-0.1038	-0.0492	2.7798	-1.575	0.2155	2.0014	-0.8593	0.2907	-0.3079	-0.0086	0.774	-0.4988	0.6059	0.0177	-0.3376	-0.5173	-0.9546	-1.1453	0.7803	-2.0495	0.7551	-0.718	-1.1598	-0.9425	-1.0793	-0.7856	-0.5105	-1.0619	-0.592	-0.7171	2.5325	0.0848	-0.7806	-0.1375	-0.5601	-0.4698	-0.2778	-0.3497	-0.0942	-0.8249	1.1922	-0.1464	-0.3828	-0.4669	0.611	-0.056	-1.1519	1.538	-0.8243	-0.1913	2.2658	-0.2852	-0.482	0.9684	-0.4352	-0.0264
BCL2L11|Bim	0.6188	0.9772	0.8075	-0.742	-1.5723	0.3842	-0.502	-0.6066	-0.4878	-0.5075	0.4196	-0.8856	0.4951	0.414	-0.3423	0.4773	-1.8242	-0.8895	-0.9226	0.6769	-0.8984	1.375	0.7103	0.9898	-0.3394	0.9293	1.7696	0.47	-1.2441	-0.0471	0.2372	0.1273	-0.526	0.4259	0.4159	-0.5251	-1.5999	-0.0351	0.1977	0.7923	-0.112	0.0914	-0.4094	-1.2055	0.3154	-0.7096	-0.8526	0.1278	-0.2248	-0.9402	0.1407	1.4026	0.6427	0.0659	1.7907	0.1724	-0.3599	-0.3373	-0.7823	0.4085	0.825
RAF1|C-Raf	-0.7827	-0.0905	1.3382	-1.2973	0.4655	-1.8569	0.365	0.1361	-0.0439	0.1119	-0.559	-1.0446	1.8903	1.755	-1.9363	-0.71	-0.3858	-0.9637	0.0925	0.1367	-0.5502	2.6199	-0.1909	-0.0859	-0.4025	0.2204	1.4789	-1.1601	-0.3886	0.0692	-0.0475	0.948	-0.3242	2.6069	-1.5949	0.6643	0.1632	-1.3078	0.5638	0.8888	-0.6676	0.6617	-0.2041	0.6446	0.3668	-1.6233	-0.4268	-1.0678	-1.3403	0.4832	1.8012	0.8307	0.0075	-0.3645	0.6247	0.2677	0.1113	-1.0291	1.5002	-0.1186	1.8515
